OCAKE BENCHMARKS:

KYBER512 m4fstack 
PROTO: 19723792
KEY_GEN: 409534
DECAP: 441100
AES: 325603
SHA: 369810
SHAKE: 12158
OTHER: 6574
COMM: 18158529
KEM+SYM: 1558205
KEM+SYM+COMM+Other: 19723308
STACK: 7440

KYBER768 m4fstack 
PROTO: 28013709
KEY_GEN: 669082
DECAP: 728989
AES: 482389
SHA: 526208
SHAKE: 12157
OTHER: 9264
COMM: 25585129
KEM+SYM: 2418825
KEM+SYM+COMM+Other: 28013218
STACK: 9808

KYBER1024 m4fstack
PROTO: 38378439
KEY_GEN: 1059422
DECAP: 1131112
AES: 638303
SHA: 703563
SHAKE: 12159
OTHER: 11952
COMM: 34821441
KEM+SYM: 3544559
KEM+SYM+COMM+Other: 38377952
STACK: 12336

KYBER512 m4fspeed
PROTO: 19611571
KEY_GEN: 409815
DECAP: 439143
AES: 326349
SHA: 369810
SHAKE: 12156
OTHER: 6574
COMM: 18047240
KEM+SYM: 1557273
KEM+SYM+COMM+Other: 19611087
STACK: 10520

KYBER768 m4fspeed 
PROTO: 27807068
KEY_GEN: 667850
DECAP: 723453
AES: 482365
SHA: 526206
SHAKE: 12159
OTHER: 9266
COMM: 25385278
KEM+SYM: 2412033
KEM+SYM+COMM+Other: 27806577
STACK: 13416

KYBER1024 m4fspeed
PROTO: 38485263
KEY_GEN: 1057460
DECAP: 1123429
AES: 638110
SHA: 703561
SHAKE: 12160
OTHER: 11952
COMM: 34938105
KEM+SYM: 3534720
KEM+SYM+COMM+Other: 38484777
STACK: 16462

---

KYBER CYCLES:

KYBER512 m4fstack
KEYPAIR: 409720
ENCAP: 404662
DECAP: 440965

KYBER768 m4fstack
KEYPAIR: 680947
ENCAP: 692341
DECAP: 740538

KYBER1024 m4fstack
KEYPAIR: 1059523
ENCAP: 1067818
DECAP: 1130904

KYBER512 m4fspeed
KEYPAIR: 410035
ENCAP: 402788
DECAP: 439044

KYBER768 m4fspeed
KEYPAIR: 667886
ENCAP: 675443
DECAP: 723174

KYBER1024 m4fspeed
KEYPAIR: 1057531
ENCAP: 1060678
DECAP: 1123173

---

KYBER STACK:

KYBER512 m4fstack
KEYPAIR: 2300
ENCAP: 2348
DECAP: 2332

KYBER768 m4fstack
KEYPAIR: 2820
ENCAP: 2860
DECAP: 2844

KYBER1024 m4fstack
KEYPAIR: 3332
ENCAP: 3372
DECAP: 3356

KYBER512 m4fspeed
KEYPAIR: 4372
ENCAP: 5436
DECAP: 5412

KYBER768 m4fspeed
KEYPAIR: 5396
ENCAP: 6468
DECAP: 6452

KYBER1024 m4fspeed
KEYPAIR: 6436
ENCAP: 7500
DECAP: 7484
